statistic	scheme	obs	null_mean	null_std	z_shift_vs_null	p_perm	n_effective
mean_neglog10p	control_vs_experimental_phase1	0.3739947056911957	0.3241758743417076	0.018400778685735183	2.707430603907492	0.004452995547004453	349
max_z	control_vs_experimental_phase1	2.3652476466815218	2.2851593369739724	0.10101228716702347	0.7928571063352281	0.5382114617885382	349
skew_z	control_vs_experimental_phase1	-0.1834033193531556	-0.249271719635867	0.07387451352375544	0.891625503043488	0.18591981408018593	349
