run_index	condition	diag_score	baseline_size	empirical_p	empirical_p_low	empirical_p_two_sided	z_from_p	neglog10_p	perm_p_derangements_high	perm_p_derangements_low	perm_p_derangements_two_sided	z_perm_calibrated_derangements
0	control	6.0	221	0.6036036036036037	0.7387387387387387	1.0	-0.26268576068373706	0.21924817608583094	0.6023283976716023	0.6872743127256873	1.0	-0.25937851564799325
1	control	2.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	control	4.0	221	0.9774774774774775	0.45495495495495497	0.9099099099099099	-2.00423357987982	0.009893240602109115	0.9773200226799773	0.4294825705174295	0.858965141034859	-2.001301068828436
4	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	control	6.0	221	0.6711711711711712	0.7162162162162162	1.0	-0.4431494248121575	0.17316670603836457	0.6688053311946688	0.5161374838625161	1.0	-0.43661671619076886
6	control	6.0	221	0.33783783783783783	0.9009009009009009	0.6756756756756757	0.4183712879116543	0.47129171105893863	0.3351686648313352	0.8912741087258913	0.6703373296626703	0.4256850877303991
7	control	9.0	221	0.15765765765765766	0.8963963963963963	0.3153153153153153	1.0041313313244868	0.802284930100363	0.1537888462111538	0.8193271806728193	0.3075776924223076	1.0203179511946698
8	control	9.0	221	0.08558558558558559	0.9459459459459459	0.17117117117117117	1.368450292253209	1.0675993734978098	0.0813049186950813	0.9366280633719366	0.1626098373901626	1.3963476296195227
9	control	6.0	221	0.44594594594594594	0.8153153153153153	0.8918918918918919	0.1359106806464805	0.3507177798530887	0.44356755643244355	0.8101171898828101	0.8871351128648871	0.14193023388814777
10	control	4.0	221	0.9369369369369369	0.36036036036036034	0.7207207207207207	-1.529558186142137	0.028289639487877088	0.9363890636109364	0.35356464643535357	0.7071292928707071	-1.5251492607861707
11	control	4.0	221	0.9954954954954955	0.23423423423423423	0.46846846846846846	-2.6117120822772177	0.0019607007655279116	0.9955140044859955	0.2255947744052256	0.4511895488104512	-2.613119557628716
12	control	6.0	221	0.545045045045045	0.7297297297297297	1.0	-0.11315217624074865	0.26356760413418856	0.5435044564955435	0.6642353357646642	1.0	-0.10926653730140529
13	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
14	control	5.0	221	0.8288288288288288	0.36036036036036034	0.7207207207207207	-0.9495472701112365	0.08153515144110217	0.8281981718018282	0.18586181413818587	0.37172362827637173	-0.947068928623281
15	control	8.0	221	0.08558558558558559	0.972972972972973	0.17117117117117117	1.368450292253209	1.0675993734978098	0.08117691882308117	0.9683560316439683	0.16235383764616235	1.3971986664289406
16	control	5.0	221	0.9279279279279279	0.22972972972972974	0.4594594594594595	-1.460531182013231	0.03248575408148525	0.9277330722669277	0.15318584681415318	0.30637169362830635	-1.459113557037158
17	control	4.0	221	0.990990990990991	0.35585585585585583	0.7117117117117117	-2.3652476466815213	0.003930293628432402	0.9910550089449911	0.348969651030349	0.697939302060698	-2.36788734953499
18	control	4.0	221	0.9954954954954955	0.15765765765765766	0.3153153153153153	-2.6117120822772177	0.0019607007655279116	0.9954620045379955	0.14993685006314994	0.2998737001262999	-2.6091784109489096
19	control	4.0	221	0.9954954954954955	0.3153153153153153	0.6306306306306306	-2.6117120822772177	0.0019607007655279116	0.9955170044829955	0.308000691999308	0.616001383998616	-2.6133481740145674
20	control	5.0	221	0.7387387387387387	0.44594594594594594	0.8918918918918919	-0.6394618524871729	0.13150912640294074	0.7372612627387373	0.4344815655184345	0.868963131036869	-0.6349247802135384
21	control	6.0	221	0.7747747747747747	0.6081081081081081	1.0	-0.754664269473103	0.11082452754308973	0.7736922263077737	0.4831875168124832	0.9663750336249664	-0.7510616614179106
22	control	6.0	221	0.4594594594594595	0.6846846846846847	0.918918918918919	0.1017955990947049	0.33775280268872104	0.45677154322845676	0.6244283755716244	0.9135430864569135	0.10857059271093987
23	control	5.0	221	0.6756756756756757	0.46846846846846846	0.9369369369369369	-0.4556403137378794	0.1702617153949574	0.6743443256556744	0.45742854257145743	0.9148570851429149	-0.4519411917547588
24	control	6.0	221	0.3108108108108108	0.8738738738738738	0.6216216216216216	0.4935533950895455	0.5075038837133833	0.3072796927203073	0.8687971312028688	0.6145593854406146	0.5035759656819256
25	control	8.0	221	0.08558558558558559	0.9684684684684685	0.17117117117117117	1.368450292253209	1.0675993734978098	0.0814939185060815	0.9097580902419098	0.162987837012163	1.3950928666164297
26	control	6.0	221	0.5315315315315315	0.6801801801801802	1.0	-0.07912030015842841	0.27447096714451324	0.5293394706605293	0.6744753255246745	1.0	-0.07360956668537433
27	control	7.0	221	0.3738738738738739	0.6936936936936937	0.7477477477477478	0.3216105535126583	0.4272748820745647	0.3713016286983713	0.6871603128396871	0.7426032573967426	0.32840791746714754
28	control	3.0	221	0.9954954954954955	0.05855855855855856	0.11711711711711711	-2.6117120822772177	0.0019607007655279116	0.9954520045479954	0.0495019504980495	0.099003900996099	-2.6084251243081935
29	control	8.0	221	0.22522522522522523	0.9009009009009009	0.45045045045045046	0.754664269473103	0.6473829701146199	0.22141277858722141	0.8279331720668279	0.44282555717444283	0.7674305725125063
30	control	11.0	221	0.02702702702702703	0.9819819819819819	0.05405405405405406	1.9264031529639818	1.568201724066995	0.022455977544022458	0.6661173338826661	0.044911955088044915	2.0054781431227755
31	control	6.0	221	0.5225225225225225	0.7432432432432432	1.0	-0.05648561480015194	0.28189498522372014	0.5216054783945216	0.4875205124794875	0.975041024958975	-0.054183403671103025
32	control	8.0	221	0.2702702702702703	0.7837837837837838	0.5405405405405406	0.6119957936995944	0.568201724066995	0.266960733039267	0.7781662218337781	0.533921466078534	0.622031027459935
33	control	5.0	221	0.5765765765765766	0.7072072072072072	1.0	-0.1931431668132398	0.23914300480277026	0.5745064254935746	0.6968453031546968	1.0	-0.18785904424989625
34	control	6.0	221	0.5405405405405406	0.7387387387387387	1.0	-0.10179559909470504	0.2671717284030138	0.5377314622685377	0.6791903208096792	1.0	-0.0947201966917301
35	control	4.0	221	0.990990990990991	0.2747747747747748	0.5495495495495496	-2.3652476466815213	0.003930293628432402	0.9908940091059909	0.26265273734726263	0.5253054746945253	-2.3612798449505052
36	control	5.0	221	0.6756756756756757	0.46396396396396394	0.9279279279279279	-0.4556403137378794	0.1702617153949574	0.6743153256846743	0.45724254275745724	0.9144850855149145	-0.4518606850401312
37	control	4.0	221	0.990990990990991	0.5630630630630631	1.0	-2.3652476466815213	0.003930293628432402	0.9911330088669912	0.5562484437515562	1.0	-2.371126043191899
38	control	6.0	221	0.3963963963963964	0.8468468468468469	0.7927927927927928	0.26268576068373695	0.40187030230047	0.39376860623139376	0.769097230902769	0.7875372124627875	0.26951004610150814
39	control	7.0	221	0.38738738738738737	0.7927927927927928	0.7747747747747747	0.28613493575491794	0.41185452320707094	0.385039614960385	0.7871802128197872	0.77007922992077	0.29227126157412064
40	control	5.0	221	0.6396396396396397	0.536036036036036	1.0	-0.3574957320533234	0.19406463006758212	0.6377683622316378	0.5297374702625297	1.0	-0.3525000572528521
41	control	5.0	221	0.5180180180180181	0.6936936936936937	1.0	-0.04517983902747526	0.2856551340970269	0.5161714838285162	0.6205313794686206	1.0	-0.04054700615111844
42	control	6.0	221	0.49099099099099097	0.8648648648648649	0.9819819819819819	0.022584156380876554	0.30892647651001504	0.4897105102894897	0.8593321406678593	0.9794210205789794	0.025794786071467696
43	control	4.0	221	0.9774774774774775	0.32882882882882886	0.6576576576576577	-2.00423357987982	0.009893240602109115	0.9775110224889775	0.3172726827273173	0.6345453654546346	-2.0048605702209708
44	control	6.0	221	0.6216216216216216	0.7612612612612613	1.0	-0.3097425315385302	0.20647388804940212	0.6194033805966194	0.492997507002493	0.985995014004986	-0.3039142266978178
45	control	4.0	221	0.9414414414414415	0.35135135135135137	0.7027027027027027	-1.5669896232638034	0.026206688339584606	0.9414140585859414	0.2983757016242984	0.5967514032485968	-1.566755370587377
46	control	6.0	221	0.33783783783783783	0.8738738738738738	0.6756756756756757	0.4183712879116543	0.47129171105893863	0.33478966521033476	0.8507701492298507	0.6695793304206695	0.42672542395757307
47	control	4.0	221	0.9819819819819819	0.38288288288288286	0.7657657657657657	-2.096520582427628	0.007896480846033815	0.9819250180749819	0.36166363833636167	0.7233272766727233	-2.0952366155242563
48	control	5.0	221	0.7837837837837838	0.38288288288288286	0.7657657657657657	-0.785036049876892	0.10580372616803892	0.7826292173707826	0.3764626235373765	0.752925247074753	-0.7811035991311253
49	control	12.0	221	0.018018018018018018	1.0	0.036036036036036036	2.0965205824276283	1.7442929831226763	0.013494986505013495	0.9953470046529953	0.02698997301002699	2.21166279525195
50	control	6.0	221	0.40540540540540543	0.7792792792792793	0.8108108108108109	0.23938016267175266	0.39211046501131375	0.40273359726640273	0.7738672261327739	0.8054671945328055	0.24627779908771874
51	control	8.0	221	0.24774774774774774	0.8918918918918919	0.4954954954954955	0.6815943390528618	0.6059902849563948	0.2441997558002442	0.7245562754437246	0.4883995116004884	0.6928566581458252
52	control	6.0	221	0.4099099099099099	0.8288288288288288	0.8198198198198198	0.22777672762222836	0.3873115821295451	0.4087235912764087	0.8222811777188223	0.8174471825528175	0.23082960271113537
53	control	4.0	221	0.9954954954954955	0.14414414414414414	0.2882882882882883	-2.6117120822772177	0.0019607007655279116	0.9955190044809955	0.13636786363213638	0.27273572726427275	-2.61350066085513
54	control	7.0	221	0.481981981981982	0.6306306306306306	0.963963963963964	0.04517983902747512	0.31696919676542895	0.4801565198434802	0.5332924667075333	0.9603130396869604	0.049760756509913094
55	control	4.0	221	0.9369369369369369	0.3738738738738739	0.7477477477477478	-1.529558186142137	0.028289639487877088	0.9364260635739364	0.30845469154530847	0.6169093830906169	-1.5254460796101328
56	control	6.0	221	0.46396396396396394	0.7972972972972973	0.9279279279279279	0.09045213597816885	0.33351574974546644	0.4621205378794621	0.7777502222497777	0.9242410757589242	0.0950928518326771
57	control	4.0	221	0.9864864864864865	0.31981981981981983	0.6396396396396397	-2.2111272410853284	0.005908859610520279	0.9866470133529867	0.31207468792531207	0.6241493758506241	-2.2157887499843034
58	control	6.0	221	0.5855855855855856	0.7747747747747747	1.0	-0.21620388056489545	0.23240962214380184	0.5822064177935822	0.7696712303287697	1.0	-0.20754127130375255
59	control	8.0	221	0.3153153153153153	0.8873873873873874	0.6306306306306306	0.4808394206668124	0.5012549344363818	0.31313668686331314	0.881979118020882	0.6262733737266263	0.4869787731099049
60	control	4.0	221	0.9954954954954955	0.19369369369369369	0.38738738738738737	-2.6117120822772177	0.0019607007655279116	0.9954980045019955	0.18489381510618488	0.36978763021236977	-2.6119025712178554
61	control	4.0	221	0.9954954954954955	0.1981981981981982	0.3963963963963964	-2.6117120822772177	0.0019607007655279116	0.9954500045499954	0.18949081050918948	0.37898162101837896	-2.6082746444461904
62	control	8.0	221	0.23873873873873874	0.9054054054054054	0.4774774774774775	0.7103655549160232	0.6220771048498496	0.2353027646972353	0.9002620997379003	0.4706055293944706	0.7214941650292871
63	control	5.0	221	0.6486486486486487	0.5405405405405406	1.0	-0.3816746537655627	0.18799048235538895	0.6473383526616473	0.5242404757595243	1.0	-0.3781444426830338
64	control	5.0	221	0.6441441441441441	0.49099099099099097	0.9819819819819819	-0.36955818561240195	0.19101693698557684	0.6420843579156421	0.43428756571243426	0.8685751314248685	-0.36403578945369497
65	control	6.0	221	0.6936936936936937	0.6711711711711712	1.0	-0.5063476573610789	0.15883225361417555	0.6914103085896914	0.5101314898685101	1.0	-0.4998518719417883
66	control	6.0	221	0.6801801801801802	0.6531531531531531	1.0	-0.4682027026466733	0.16737602715746916	0.6791803208196792	0.502965497034503	1.0	-0.46540792726404284
