statistic	scheme	obs	null_mean	null_std	z_shift_vs_null	p_perm	n_effective
mean_neglog10p	control_vs_experimental_phase2	0.3634584671118715	0.32260411080933793	0.01726460069587057	2.366365548917985	0.010398989601010399	413
max_z	control_vs_experimental_phase2	2.602330427657114	2.3207643441155636	0.08264292394259086	3.4070198646062475	9.99999000001e-07	413
skew_z	control_vs_experimental_phase2	-0.14827433728513004	-0.24152238546073532	0.06805075529914523	1.3702720530535617	0.08406191593808406	413
